size,price
800,151450
832,147744
864,165351
896,184299
929,163760
961,169578
993,202597
1026,196238
1058,183503
1090,204502
1123,195230
1155,201014
1187,217447
1220,190937
1252,199580
1284,222838
1317,221898
1349,247622
1381,235106
1414,233360
1446,282348
1478,262795
1511,273012
1543,256446
1575,275470
1608,291118
1640,278007
1672,306726
1705,297899
1737,308351
1769,309519
1802,352147
1834,329979
1866,320134
1898,354156
1931,329323
1963,356587
1995,329877
2028,345168
2060,373862
2092,387804
2125,385115
2157,386628
2189,389665
2222,377822
2254,395020
2286,404726
2319,433311
2351,428427
2383,402645
2416,439770
2448,434951
2480,436391
2513,461538
2545,473646
2577,477969
2610,457229
2642,470998
2674,486423
2707,501905
2739,485903
2771,496124
2804,488132
2836,492602
2868,528551
2901,542525
2933,526919
2965,548871
2997,545060
3030,535777
3062,556693
3094,580161
3127,562371
3159,592196
3191,535249
3224,592692
3256,587487
3288,587514
3321,599194
3353,573822
3385,606159
3418,620629
3450,643259
3482,619135
3515,620599
3547,631019
3579,658094
3612,655113
3644,648053
3676,669517
3709,669092
3741,687984
3773,668741
3806,680175
3838,685027
3870,674774
3903,706987
3935,712279
3967,714258
4000,716481
